trip_date,skipper_name,recorder_name,crew_n,entered_date,vessel_name,power,vessel_type_id,gear_cost,return_date,fuel_used,fuel_cost,bait_used,bait_cost,ice_used,ice_cost,gear_purchased,system_source,depart_time,return_time,entered_lat,entered_longitude,t.extensions.trip_ext,landing_site_name,target_fishery_type,data_recorder_type,fish_method,hours_fished_n,lines_n,hooks_per_line_n,live_bait_used,art_area_name,fad_name,e.extensions.eff_ext,sp_code,sp_n,sp_kg,extensions.catch_ext,sp_name
7/06/2016 0:00,Charles,,0,7/06/2016 10:38,nevagivup,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,NA,1010,NA,NA,,Waterfront,XX,FO,Troll lines,NA,NA,NA,,Efate (South),,,WAH,1,8,,WAHOO
6/24/2016 12:00:00 AM,charles,,2,7/06/2016 11:40,nevagivup,Motor,NA,NA,6/24/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,600,1500,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,4,,Efate (South),,,BUM,1,0,,BLUE MARLIN
6/24/2016 12:00:00 AM,charles,,2,7/06/2016 11:40,nevagivup,Motor,NA,NA,6/24/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,600,1500,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,4,,Efate (South),,,YFT,3,91,,YELLOWFIN
6/26/2016 12:00:00 AM,charles,,2,7/06/2016 11:40,nevagivup,Motor,NA,NA,6/26/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,630,1230,NA,NA,,Waterfront,XX,FO,Troll lines,6,1,1,,Efate (South),,,WAH,1,20,,WAHOO
5/28/2016 12:00:00 AM,Charlie,tom kiri,3,7/06/2016 11:44,nevagivup,Motor,NA,NA,5/28/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,400,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,NA,,,Mooring buoys,,YFT,1,29,,YELLOWFIN
5/29/2016 12:00:00 AM,Charlie,tom kiri,3,7/06/2016 11:57,nevagivup,Motor,NA,NA,5/29/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,430,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,NA,X,,Mooring buoys,,YFT,1,29,,YELLOWFIN
6/07/2016 0:00,Michael Whealer,William,0,7/06/2016 12:08,nevagivup,Motor,NA,NA,6/07/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,700,0,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,NA,,Efate (South),,,WAH,1,13,,WAHOO
7/06/2016 0:00,Michael Whealer,William,0,7/06/2016 12:08,nevagivup,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,800,1007,NA,NA,,Waterfront,XX,FO,Troll lines,NA,4,NA,,Efate (South),,,WAH,1,14,,WAHOO
5/30/2016 12:00:00 AM,Charlies,tom kiri,3,7/06/2016 12:18,nevagivup,Motor,NA,NA,5/30/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,430,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,NA,,,Mooring buoys,,YFT,1,29,,YELLOWFIN
7/06/2016 0:00,,tom kiri,3,7/06/2016 12:32,nevagivup,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,800,500,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,NA,X,,Mooring buoys,,YFT,1,29,,YELLOWFIN
6/07/2016 0:00,Charlie's,tom kiri,3,7/06/2016 12:42,nevagivup,Motor,NA,NA,6/07/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,900,1236,NA,NA,,Waterfront,XX,FO,Troll lines,6,4,NA,X,,Mooring buoys,,YFT,1,29,,YELLOWFIN
6/29/2016 12:00:00 AM,Charles Wheller,Malcom,0,7/06/2016 11:44,Reel Capture,Motor,NA,NA,6/29/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,1300,1400,NA,NA,,Waterfront,XX,FO,Troll lines,1,2,2,X,Efate (South),,,YFT,2,17,,YELLOWFIN
6/29/2016 12:00:00 AM,Charles Wheller,Malcom,0,7/06/2016 11:44,Reel Capture,Motor,NA,NA,6/29/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,1300,1400,NA,NA,,Waterfront,XX,FO,Troll lines,1,2,2,X,Efate (South),,,DOL,1,3,,MAHI MAHI / DOLPHINFISH / DORADO
7/06/2016 0:00,Michel w,Jimmy willie,2,7/06/2016 13:40,Reel Capture,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,700,600,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,NA,,,Mooring buoys,,WAH,1,12,,WAHOO
6/19/2016 12:00:00 AM,Charles,Malili,2,7/06/2016 13:55,nevagivup,Motor,NA,NA,6/19/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,900,1300,NA,NA,,Waterfront,XX,FO,Troll lines,4,4,4,,Efate (South),,,WAH,1,11,,WAHOO
6/27/2016 12:00:00 AM,Michelle wheeler,Malcom,0,7/06/2016 14:36,nevagivup,Motor,NA,NA,6/27/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,800,1400,NA,NA,,Waterfront,XX,FO,Troll lines,6,4,4,X,Efate (South),,,WAH,1,18,,WAHOO
6/26/2016 12:00:00 AM,Michael wheeler,Willie jimmy,0,7/06/2016 14:45,Reel Capture,Motor,NA,NA,6/26/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,1500,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,NA,,Efate (South),,,SNK,1,5,,BARRACOUTA (SNOEK)
6/01/2016 0:00,Charles wheeler,Sammy,0,7/06/2016 14:58,Reel Capture,Motor,NA,NA,6/01/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,900,1800,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,4,,Efate (South),,,WAH,1,12,,WAHOO
7/06/2016 0:00,Charles wheeler,Sammy,0,7/06/2016 15:07,Reel Capture,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,900,1800,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,4,,Efate (South),,,YFT,1,37,,YELLOWFIN
7/06/2016 0:00,Charles wheeler,Sammy,0,7/06/2016 15:07,Reel Capture,Motor,NA,NA,7/06/2016 0:00,NA,NA,NA,NA,NA,NA,,Tufman2,900,1800,NA,NA,,Waterfront,XX,FO,Troll lines,8,4,4,,Efate (South),,,WAH,1,15,,WAHOO
5/28/2016 12:00:00 AM,Michelle wheater,,2,7/06/2016 15:13,Reel Capture,Motor,NA,NA,5/28/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,730,1330,NA,NA,,Waterfront,XX,FO,Troll lines,6,8,8,,Efate (South),,,WAH,1,28,,WAHOO
5/31/2016 12:00:00 AM,Michelle wheater,,2,7/06/2016 15:13,Reel Capture,Motor,NA,NA,5/31/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,1600,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,4,,Efate (South),,,YFT,2,26,,YELLOWFIN
5/31/2016 12:00:00 AM,Michelle wheater,,2,7/06/2016 15:13,Reel Capture,Motor,NA,NA,5/31/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,1600,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,4,,Efate (South),,,DOL,1,9,,MAHI MAHI / DOLPHINFISH / DORADO
5/31/2016 12:00:00 AM,Michelle wheater,,2,7/06/2016 15:13,Reel Capture,Motor,NA,NA,5/31/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,1600,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,4,,Efate (South),,,WAH,3,37,,WAHOO
5/31/2016 12:00:00 AM,Michelle wheater,,2,7/06/2016 15:13,Reel Capture,Motor,NA,NA,5/31/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,700,1600,NA,NA,,Waterfront,XX,FO,Troll lines,9,4,4,,Efate (South),,,SFA,1,20,,SAILFISH (INDO-PACIFIC)
6/19/2016 12:00:00 AM,,William,0,7/06/2016 15:27,nevagivup,Motor,NA,NA,6/19/2016 12:00:00 AM,NA,NA,NA,NA,NA,NA,,Tufman2,900,1300,NA,NA,,Waterfront,XX,FO,Troll lines,4,4,NA,,Efate (South),,,WAH,1,11,,WAHOO
